chr1	10013	10472
chr1	8070411	8070477
chr1	28836488	28837405
chr1	31411754	31411807
chr1	32045768	32045872
chr1	46951839	46951920
chr1	60266230	60266289
chr1	68861876	68861939
chr1	95730529	95730598
chr1	101689253	101689326
chr1	111162661	111162724
chr1	120190811	120190864
chr1	146034588	146034664
chr1	146544768	146544819
chr1	147442722	147442791
chr1	147576374	147576449
chr1	147735845	147736098
chr1	147752132	147752205
chr1	148241702	148241797
chr1	151809193	151809258
chr1	153643711	153643803
chr1	161432417	161432490
chr1	202660844	202660918
chr1	204531531	204531607
chr1	212813001	212813072
chr1	218748359	218748422
chr1	220095246	220095313
chr1	223671763	223671835
chr1	225266516	225266595
chr1	227132403	227132470
chr1	228745994	228746287
chr1	228752704	228752923
chr1	228754968	228755049
chr1	228757192	228757270
chr1	228759411	228759489
chr1	228761652	228761724
chr1	228766139	228766196
chr1	228768381	228768542
chr1	228770620	228770684
chr1	228772845	228773036
chr1	228775073	228775157
chr1	228777249	228777380
chr1	228779562	228779643
chr1	228781763	228781984
chr1	239853309	239853378
chr1	249239895	249240614
chr10	6509281	6509400
chr10	6957435	6957496
chr10	9178742	9178808
chr10	18647428	18647510
chr10	45261255	45261324
chr10	64324173	64324236
chr10	69524274	69524348
chr10	111800676	111800740
chr10	118951452	118951521
chr10	126787233	126787363
chr10	130381810	130381887
chr10	132158434	132158960
chr10	132202664	132202744
chr10	135524457	135524524
chr11	191808	191882
chr11	1775722	1775787
chr11	2383560	2383626
chr11	9696853	9696967
chr11	11268035	11268487
chr11	19423436	19423521
chr11	26207055	26207116
chr11	33331766	33331832
chr11	62609193	62609269
chr11	65191460	65191949
chr11	65266747	65267078
chr11	70886593	70886656
chr11	92438991	92439051
chr11	95731277	95731352
chr11	116001570	116001651
chr11	119614691	119614788
chr11	121636375	121636485
chr11	134582233	134582305
chr11	134946457	134946527
chr12	95157	95742
chr12	11659859	11659924
chr12	13070136	13070208
chr12	46751521	46751609
chr12	78458173	78458256
chr12	86770545	86770641
chr12	95158022	95158106
chr12	98442737	98442819
chr12	103116520	103116573
chr12	110825019	110825235
chr12	115312246	115312363
chr12	119195473	119195682
chr12	119598050	119598134
chr12	124577464	124577781
chr12	125395084	125395638
chr12	130787975	130788039
chr12	132953993	132954075
chr12	133841522	133841892
chr13	19510199	19510250
chr13	30948841	30948904
chr13	37664029	37664105
chr13	41634876	41634939
chr13	51688774	51688848
chr13	57785618	57785681
chr13	61644219	61644282
chr13	72432999	72433073
chr13	73009684	73009757
chr13	98763198	98763263
chr13	101126687	101126755
chr14	35015972	35016072
chr14	35016341	35016612
chr14	69202944	69203040
chr14	77870247	77870300
chr14	78692295	78692353
chr14	84864480	84864619
chr14	96435025	96435102
chr14	101083740	101083807
chr14	101091230	101091353
chr14	105700854	105700917
chr14	106875043	106875121
chr15	24830822	24830887
chr15	32172435	32172517
chr15	42513461	42513528
chr15	44580604	44580790
chr15	45754033	45754097
chr15	49782076	49782150
chr15	64036337	64036390
chr15	68132502	68132564
chr15	70741497	70741567
chr15	71751661	71751750
chr15	77165673	77165736
chr15	86440135	86440320
chr15	89868266	89868403
chr15	93747491	93747559
chr15	102521175	102521384
chr16	3073118	3073563
chr16	3073808	3073915
chr16	3073974	3074073
chr16	16533452	16533507
chr16	16543311	16543379
chr16	18356269	18356320
chr16	24620866	24620928
chr16	25771415	25771485
chr16	57334414	57334486
chr16	61802224	61802318
chr16	66335726	66335804
chr16	76884698	76884811
chr16	77604780	77604843
chr16	87236599	87236665
chr17	1258396	1258448
chr17	7579352	7579443
chr17	18965355	18965794
